data,length_used,feature_extraction,feature_selection,model,accuracy,f1,recall,precision,roc_auc,notes
Fake Review Dataset,,HashingVectorizer(n_features=10),,LogisticRegression(max_iter=1000),0.567817582112606,0.5808973489356961,0.599093994469768,0.5638482480482938,0.5965940938594667,
Fake Review Dataset,,HashingVectorizer(n_features=50),,LogisticRegression(max_iter=1000),0.6319499044233315,0.6359510935253063,0.6430109209986614,0.6291661060783775,0.6818564632563915,
Fake Review Dataset,,HashingVectorizer(n_features=100),,LogisticRegression(max_iter=1000),0.6760487275697468,0.6784631881741736,0.6836199725399834,0.6734231033599054,0.7383148566374347,
Fake Review Dataset,,HashingVectorizer(),,LogisticRegression(max_iter=1000),0.8544716970935144,0.8547307828895011,0.8563147820366067,0.8531715777935149,0.9328049864720642,
Fake Review Dataset,,HashingVectorizer(n_features=10),,"KNeighborsClassifier(metric='euclidean', n_neighbors=1)",0.5608461110424138,0.5688533218028393,0.5841633466135459,0.555935141651362,0.5797580641264468,
Fake Review Dataset,,HashingVectorizer(n_features=50),,"KNeighborsClassifier(metric='euclidean', n_neighbors=1)",0.6186472115741313,0.689355374906951,0.8523873256972112,0.5792292539418131,0.6935081768235337,
Fake Review Dataset,,HashingVectorizer(n_features=100),,"KNeighborsClassifier(metric='euclidean', n_neighbors=1)",0.580499567206628,0.6840941405313363,0.9133777390438248,0.5473100735039119,0.6764801707258414,
Fake Review Dataset,,HashingVectorizer(),,"KNeighborsClassifier(metric='euclidean', n_neighbors=1)",0.6046741684184493,0.7051486413438653,0.9518177290836654,0.560207088603611,0.7164503907117783,
Fake Review Dataset,,HashingVectorizer(n_features=10),,KNeighborsClassifier(metric='cosine'),0.5600964510943489,0.5640412447750659,0.5737051792828685,0.5561795181331965,0.5788696265050336,
Fake Review Dataset,,HashingVectorizer(n_features=50),,KNeighborsClassifier(metric='cosine'),0.6300234944973414,0.6942946379731193,0.8465512948207171,0.588672437448905,0.7034852789774334,
Fake Review Dataset,,HashingVectorizer(n_features=100),,KNeighborsClassifier(metric='cosine'),0.6152466922220848,0.6953586063407511,0.8844621513944223,0.5729789307980133,0.6630691676917972,
Fake Review Dataset,,HashingVectorizer(n_features=10),,"KNeighborsClassifier(metric='cosine', n_neighbors=10)",0.5569660013210894,0.5616056308327433,0.5684221951151236,0.556642213965808,0.5743796712893812,
Fake Review Dataset,,HashingVectorizer(n_features=50),,"KNeighborsClassifier(metric='cosine', n_neighbors=10)",0.6277327527154072,0.6934861438945492,0.8426660568101102,0.5894650821339061,0.6954206530325725,
Fake Review Dataset,,HashingVectorizer(n_features=100),,"KNeighborsClassifier(metric='cosine', n_neighbors=10)",0.6240106761917401,0.7055858225556817,0.90140760523625,0.5798706044347449,0.7123253080280947,
