text_extraction,models,accuracy,f1,roc_auc
TF_IDF,Logistic Regression,0.8933516080886499,0.8924806680743653,0.9602737164456858
TF_IDF,LightGBM,0.8676295392724086,0.866198730304097,0.9457419114787428
TF_IDF,CatBoost,0.8769043986493532,0.875724024107732,0.9516466119480076
TF_IDF,XGBoost,0.8581074825617195,0.8561537414921292,0.9392683392658082
TF_IDF,AdaBoost,0.7582607930494678,0.7555245857364603,0.8454579206554879
TF_IDF,KNN,0.7059502979302412,0.7562246749797351,0.8344098958561487
Hashing,Logistic Regression,0.877,0.875,0.949
Hashing,CatBoost,0.864,0.861,0.943
Hashing,LightGBM,0.862,0.86,0.943
Hashing,XGBoost,0.854,0.851,0.937
Hashing,AdaBoost,0.793,0.788,0.882
Hashing,KNN,0.57,0.696,0.747
Word2Vec,Catboost,0.8870695115917393,0.8890205802629202,0.9574313703209574
Word2Vec,Logistic Regression,0.8836812140149997,0.8841674728811633,0.9435730902453286
Word2Vec,LightGBM,0.8699048692611064,0.8750069815070962,0.9514422852283352
Word2Vec,XGBoost,0.866664750005207,0.870921791972606,0.9468185013382506
Word2Vec,KNN,0.8611989983649553,0.8597139263911588,0.9248305952069064
Word2Vec,AdaBoost,0.8188808322160369,0.828889222704405,0.9067931165300596
