data,length_used,feature_extraction,feature_selection,model,accuracy,f1,recall,precision,roc_auc,notes
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0, ngram_range=(1,1))","PCA(n_components=500, random_state=42)","LogisticRegression(max_iter=1000, class_weight='balanced', random_state=42)",0.82855,0.82873,0.82988,0.82759,0.91569,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0, ngram_range=(1,1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='euclidean')",0.66299,0.69726,0.77629,0.63289,0.66301,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0, ngram_range=(1,1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='manhattan')",0.65913,0.6917,0.76482,0.63139,0.65915,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0, ngram_range=(1,1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='minkowski')",0.66299,0.69726,0.77629,0.63289,0.66301,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0, ngram_range=(1,1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='cosine')",0.67711,0.72248,0.84062,0.63349,0.67711,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0, ngram_range=(1,1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='euclidean')",0.67375,0.70518,0.78046,0.64327,0.74104,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0, ngram_range=(1,1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='manhattan')",0.67323,0.70113,0.76658,0.64603,0.73742,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0, ngram_range=(1,1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='minkowski')",0.67375,0.70518,0.78046,0.64327,0.74104,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0, ngram_range=(1,1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='cosine')",0.68552,0.73273,0.86226,0.63708,0.77095,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0, ngram_range=(1,1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='euclidean')",0.68085,0.71024,0.78246,0.6504,0.76162,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0, ngram_range=(1,1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='manhattan')",0.68305,0.70867,0.77106,0.65575,0.75824,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0, ngram_range=(1,1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='minkowski')",0.68085,0.71024,0.78246,0.6504,0.76162,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0, ngram_range=(1,1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='cosine')",0.69151,0.73878,0.87258,0.64062,0.79919,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","LogisticRegression(max_iter=1000, class_weight='balanced', random_state=42)",0.82667,0.82707,0.82925,0.82493,0.91408,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='euclidean')",0.66339,0.69816,0.77867,0.63278,0.6634,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='manhattan')",0.65844,0.69251,0.76928,0.62971,0.65845,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='cosine')",0.67657,0.72281,0.84345,0.63241,0.67658,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='euclidean')",0.67157,0.70478,0.78416,0.64008,0.74025,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='manhattan')",0.67209,0.70253,0.77452,0.64282,0.7367,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='cosine')",0.68463,0.73324,0.86696,0.6353,0.77114,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='euclidean')",0.67719,0.70943,0.78826,0.64505,0.7599,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='manhattan')",0.67961,0.70876,0.7798,0.64966,0.75636,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='cosine')",0.69138,0.73975,0.87734,0.63952,0.79959,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","LogisticRegression(max_iter=1000, class_weight='balanced', random_state=42)",0.83844,0.83753,0.83309,0.84203,0.92304,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='euclidean')",0.67414,0.70302,0.77147,0.64578,0.67417,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='manhattan')",0.66952,0.69795,0.7637,0.64268,0.66952,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='cosine')",0.68948,0.72958,0.83783,0.64613,0.68946,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='euclidean')",0.68846,0.71316,0.77469,0.66084,0.7554,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='manhattan')",0.68713,0.71011,0.76644,0.66155,0.75033,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='cosine')",0.70214,0.7429,0.86078,0.65347,0.78596,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='euclidean')",0.69643,0.71812,0.77348,0.67025,0.77678,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='manhattan')",0.69398,0.71403,0.76416,0.67019,0.77102,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='cosine')",0.70815,0.74836,0.86806,0.65771,0.81398,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","LogisticRegression(max_iter=1000, class_weight='balanced', random_state=42)",0.83849,0.83737,0.83187,0.84298,0.92428,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='euclidean')",0.6757,0.70359,0.76986,0.64788,0.67572,
