length_used ,n-grams,text extraction techniques,models,accuracy,f1,roc_acu
,"(1,3)",hashing,Logistic Regression,0.874,0.872,0.974
,"(1,3)",hashing,KNN,,,
,"(1,3)",hashing,LightGBM,0.861,0.86,0.942
,"(1,3)",hashing,XGBoost,0.852,0.848,0.936
,"(1,3)",hashing,AdaBoost,0.797,0.792,0.889
,"(1,3)",hashing,CatBoost,,,
,"(1,2)",hashing,Logistic Regression,0.877,0.875,0.949
,"(1,2)",hashing,KNN,,,
,"(1,2)",hashing,LightGBM,0.859,0.856,0.941
,"(1,2)",hashing,XGBoost,0.853,0.849,0.936
,"(1,2)",hashing,AdaBoost,0.793,0.788,0.882
,"(1,2)",hashing,CatBoost,0.864,0.861,0.943
,"(1,1)",hashing,Logistic Regression,0.854,0.855,0.933
,"(1,1)",hashing,KNN,0.569,0.694,0.736
,"(1,1)",hashing,LightGBM,0.845,0.844,0.93
,"(1,1)",hashing,XGBoost,0.839,0.837,0.926
,"(1,1)",hashing,AdaBoost,0.779,0.779,0.871
,"(1,1)",hashing,CatBoost,0.849,0.848,0.932
minmaxscaler,"(1,1)",hashing,Logistic Regression,0.853,0.854,0.932
minmaxscaler,"(1,2)",hashing,Logistic Regression,0.876,0.874,0.948
minmaxscaler,"(1,3)",hashing,Logistic Regression,0.873,0.871,0.945
minmaxscaler,"(1,2)",hashing,KNN,0.57,0.696,0.747
minmaxscaler,"(1,2)",hashing,LightGBM,0.862,0.86,0.943
minmaxscaler,"(1,2)",hashing,XGBoost,0.854,0.851,0.937
minmaxscaler,"(1,2)",hashing,AdaBoost,0.755,0.754,0.847
minmaxscaler,"(1,2)",hashing,CatBoost,,,
