n_grams,feature_extraction,model,accuracy,f1,roc_auc,length_used
"(1, 1)",TF_IDF,AdaBoost,0.7760683172771645,0.7696190408277123,0.8548194314382517,StandardScaler
"(1, 2)",TF_IDF,AdaBoost,0.7723833541500099,0.7662255937316094,0.8542443334849018,StandardScaler
"(1, 3)",TF_IDF,AdaBoost,0.7728286445626052,0.7668980676329337,0.8546286562663074,StandardScaler
"(2, 2)",TF_IDF,AdaBoost,0.7454491641587204,0.7420047596609398,0.8232366184991553,StandardScaler
"(2, 3)",TF_IDF,AdaBoost,0.7502474802452099,0.7466928380826291,0.8276009449599601,StandardScaler
"(3, 3)",TF_IDF,AdaBoost,0.7006084278683269,0.6319275384516132,0.7471555333840328,StandardScaler
"(1, 1)",TF_IDF,CatBoost,0.8573158901644101,0.8550750592443899,0.9346297142240954,StandardScaler
"(1, 2)",TF_IDF,CatBoost,0.8600859757238718,0.8583059277796992,0.9401818650860628,StandardScaler
"(1, 3)",TF_IDF,CatBoost,0.8630044904013644,0.8613032096089078,0.9406966262349954,StandardScaler
"(2, 2)",TF_IDF,CatBoost,0.8239762818037981,0.8204622559773636,0.9028551005286192,StandardScaler
"(2, 3)",TF_IDF,CatBoost,0.8243966576564208,0.8204382511949474,0.9028529440460572,StandardScaler
"(3, 3)",TF_IDF,CatBoost,0.7601900167976006,0.7241871254243433,0.8271325892689958,StandardScaler
"(1, 1)",TF_IDF,XGBoost,0.8422783842091238,0.8403713565063173,0.9205395886461378,StandardScaler
"(1, 2)",TF_IDF,XGBoost,0.8461614648831478,0.8443554477710528,0.9267238851719584,StandardScaler
"(1, 3)",TF_IDF,XGBoost,0.8477690442923438,0.8458241518891196,0.9288002474064369,StandardScaler
"(2, 2)",TF_IDF,XGBoost,0.810298867366242,0.8069226499749382,0.8931683885978202,StandardScaler
"(2, 3)",TF_IDF,XGBoost,0.8128712115746206,0.8087759993292056,0.8939324801680515,StandardScaler
"(3, 3)",TF_IDF,XGBoost,0.7510636293577198,0.7077971426406837,0.8161551207276023,StandardScaler
