data,length_used,feature_extraction,feature_selection,model,accuracy,f1,recall,precision,roc_auc,notes
osf,,"Word2Vec(vector_size=100, window=3)",,"LogisticRegression(max_iter=1000, class_weight=""balanced"")",0.8426492429090382,0.843850064119694,0.8505871562404803,0.8372335977911757,0.906562807392486,
osf,,"Word2Vec(vector_size=100, window=5)",,"LogisticRegression(max_iter=1000, class_weight=""balanced"")",0.8477689831222971,0.8488264689954585,0.855068352207153,0.8426809416108296,0.9115848195556768,
osf,,"Word2Vec(vector_size=100, window=7)",,"LogisticRegression(max_iter=1000, class_weight=""balanced"")",0.8496488304088292,0.8506868323926682,0.8567278090129316,0.8447319743594589,0.9132076110989732,
osf,,"Word2Vec(vector_size=200, window=3)",,"LogisticRegression(max_iter=1000, class_weight=""balanced"")",0.8525176811255019,0.8536348152233009,0.8605053197041921,0.8468775140937821,0.9155260265381386,
osf,,"Word2Vec(vector_size=200, window=5)",,"LogisticRegression(max_iter=1000, class_weight=""balanced"")",0.854347992908312,0.8553241192087129,0.861270987269554,0.8494605126086097,0.917639314930694,
osf,,"Word2Vec(vector_size=200, window=7)",,"LogisticRegression(max_iter=1000, class_weight=""balanced"")",0.8563018865362311,0.8573773388759687,0.8640386698692343,0.850829124975695,0.9186277123081276,
osf,,"Word2Vec(vector_size=300, window=3)",,"LogisticRegression(max_iter=1000, class_weight=""balanced"")",0.85662336265754,0.8576289200902381,0.863929977674595,0.8514243173856022,0.9198160263895006,
osf,,"Word2Vec(vector_size=300, window=5)",,"LogisticRegression(max_iter=1000, class_weight=""balanced"")",0.8595171309926881,0.860394163380579,0.8660982382205497,0.8547657400481714,0.9219306895249691,
osf,,"Word2Vec(vector_size=300, window=7)",,"LogisticRegression(max_iter=1000, class_weight=""balanced"")",0.8594925620434785,0.8605982948148299,0.8674770989973389,0.8538284046087764,0.9226320864319802,
osf,,"Word2Vec(vector_size=400, window=3)",,"LogisticRegression(max_iter=1000, class_weight=""balanced"")",0.8589729836678117,0.8598746284716231,0.8657426790416786,0.8540865513249905,0.9217655005862664,
osf,,"Word2Vec(vector_size=400, window=5)",,"LogisticRegression(max_iter=1000, class_weight=""balanced"")",0.8607043743097915,0.8616351697368414,0.8676882907834635,0.8556677602913279,0.9229530674967636,
osf,,"Word2Vec(vector_size=400, window=7)",,"LogisticRegression(max_iter=1000, class_weight=""balanced"")",0.8605064953261039,0.8614721361652535,0.8676524686984642,0.8553928603179258,0.9239388632367228,
osf,,"Word2Vec(vector_size=500, window=3)",,"LogisticRegression(max_iter=1000, class_weight=""balanced"")",0.8597397685527298,0.8608779528623345,0.868183483366969,0.8536992485791043,0.9224423724673368,
